"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"34","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge and Roesler (2005)",0.1,5,288.15,0.1,1.05094411476869,2.10188822953739
"35","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge and Roesler (2005)",0.15,10,288.15,0.1,1.05094411476869,2.10188822953739
"36","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge and Roesler (2005)",0.46,15,288.15,0.1,1.05094411476869,2.10188822953739
"37","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge and Roesler (2005)",0.28,20,288.15,0.1,1.05094411476869,2.10188822953739
"38","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge and Roesler (2005)",0,25,288.15,0.1,1.05094411476869,2.10188822953739
"39","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge and Roesler (2005)",0.083,5,288.15,0.083,0.83802066406431,1.67604132812862
"40","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge and Roesler (2005)",0.124,10,288.15,0.083,0.83802066406431,1.67604132812862
"41","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge and Roesler (2005)",0.28,15,288.15,0.083,0.83802066406431,1.67604132812862
"42","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge and Roesler (2005)",0.15,20,288.15,0.083,0.83802066406431,1.67604132812862
"43","Alexandrium fundyense-:-Etheridge and Roesler (2005)-:- 44.700-:- -66.510","Alexandrium fundyense","Etheridge and Roesler (2005)",0,25,288.15,0.083,0.83802066406431,1.67604132812862
"44","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge & Roesler (2005)",0.098,5,288.15,0.098,1.06795599031224,2.13591198062449
"45","Alexandrium fundyense-:-Etheridge & Roesler (2005)-:- 43.560-:- -69.450","Alexandrium fundyense","Etheridge & Roesler (2005)",0.15,10,288.15,0.098,1.06795599031224,2.13591198062449
