"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"1694","Coscinodiscus-:-Montagnes & Franklin (2001)-:-NA-:-NA","Coscinodiscus","Montagnes & Franklin (2001)",0.334,17,290.15,0.136,0.877712939742096,1.75542587948419
"1695","Coscinodiscus-:-Montagnes & Franklin (2001)-:-NA-:-NA","Coscinodiscus","Montagnes & Franklin (2001)",0.181,20,290.15,0.136,0.877712939742096,1.75542587948419
"1696","Coscinodiscus-:-Montagnes & Franklin (2001)-:-NA-:-NA","Coscinodiscus","Montagnes & Franklin (2001)",0.207,25,290.15,0.136,0.877712939742096,1.75542587948419
"1697","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.14,10,298.15,0.14,0.639807286319376,1.27961457263875
"1698","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.22,15,298.15,0.14,0.639807286319376,1.27961457263875
"1699","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.39,20,298.15,0.14,0.639807286319376,1.27961457263875
"1700","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.5,25,298.15,0.14,0.639807286319376,1.27961457263875
"1701","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.44,28,298.15,0.14,0.639807286319376,1.27961457263875
"1702","Cosmarium abbreviatum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium abbreviatum","Coesel et al. (1990)",0.3,30,298.15,0.14,0.639807286319376,1.27961457263875
"1703","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.12,10,298.15,0.12,0.353215158034268,0.706430316068535
"1704","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.19,15,298.15,0.12,0.353215158034268,0.706430316068535
"1705","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.235,20,298.15,0.12,0.353215158034268,0.706430316068535
"1706","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.25,25,298.15,0.12,0.353215158034268,0.706430316068535
"1707","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.22,28,298.15,0.12,0.353215158034268,0.706430316068535
"1708","Cosmarium abbreviatum-:-Coesel & Wardenaar (1990)-:- 52.140-:-   5.060","Cosmarium abbreviatum","Coesel & Wardenaar (1990)",0.14,30,298.15,0.12,0.353215158034268,0.706430316068535
"1709","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.001,0.6,301.15,0.001,1.5297850164382,3.05957003287641
"1710","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.011,7,301.15,0.001,1.5297850164382,3.05957003287641
"1711","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.169,16,301.15,0.001,1.5297850164382,3.05957003287641
"1712","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.268,21,301.15,0.001,1.5297850164382,3.05957003287641
"1713","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.322,25,301.15,0.001,1.5297850164382,3.05957003287641
"1714","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.329,28,301.15,0.001,1.5297850164382,3.05957003287641
"1715","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.094,32,301.15,0.001,1.5297850164382,3.05957003287641
"1716","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.106,35,301.15,0.001,1.5297850164382,3.05957003287641
"1717","Cosmarium beatum-:-Stamenkovi? and Hanelt (2013)-:- -0.150-:-  36.430","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0,37,301.15,0.001,1.5297850164382,3.05957003287641
"1718","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.001,0.6,301.15,0.001,1.5297850164382,3.05957003287641
"1719","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.011,7,301.15,0.001,1.5297850164382,3.05957003287641
"1720","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.169,16,301.15,0.001,1.5297850164382,3.05957003287641
"1721","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.268,21,301.15,0.001,1.5297850164382,3.05957003287641
"1722","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.322,25,301.15,0.001,1.5297850164382,3.05957003287641
"1723","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.329,28,301.15,0.001,1.5297850164382,3.05957003287641
"1724","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.094,32,301.15,0.001,1.5297850164382,3.05957003287641
"1725","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0.106,35,301.15,0.001,1.5297850164382,3.05957003287641
"1726","Cosmarium beatum-:-Stamenkovi? et al. (2013)-:- -0.150-:-  36.260","Cosmarium beatum","Stamenkovi? et al. (2013)",0,37,301.15,0.001,1.5297850164382,3.05957003287641
"1727","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.08,10,303.15,0.08,0.483731941393655,0.96746388278731
"1728","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.23,15,303.15,0.08,0.483731941393655,0.96746388278731
"1729","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.28,20,303.15,0.08,0.483731941393655,0.96746388278731
"1730","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.29,25,303.15,0.08,0.483731941393655,0.96746388278731
"1731","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.36,28,303.15,0.08,0.483731941393655,0.96746388278731
"1732","Cosmarium biretum-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium biretum","Coesel et al. (1990)",0.37,30,303.15,0.08,0.483731941393655,0.96746388278731
"1733","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.085,10,298.15,0.085,0.348298616349713,0.696597232699425
"1734","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.085,10,301.15,0.085,0.348298616349713,0.696597232699425
"1735","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.145,15,298.15,0.085,0.348298616349713,0.696597232699425
"1736","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.145,15,301.15,0.085,0.348298616349713,0.696597232699425
"1737","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.195,20,298.15,0.085,0.348298616349713,0.696597232699425
"1738","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.195,20,301.15,0.085,0.348298616349713,0.696597232699425
"1739","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.205,25,298.15,0.085,0.348298616349713,0.696597232699425
"1740","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.205,25,301.15,0.085,0.348298616349713,0.696597232699425
"1741","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.205,28,298.15,0.085,0.348298616349713,0.696597232699425
"1742","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.205,28,301.15,0.085,0.348298616349713,0.696597232699425
"1743","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.17,30,298.15,0.085,0.348298616349713,0.696597232699425
"1744","Cosmarium biretum-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium biretum","Coesel & Wardenaar (1990)",0.17,30,301.15,0.085,0.348298616349713,0.696597232699425
"1745","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0,4,299.15,0.106745,0.0547255250943537,0.109451050188707
"1746","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0.129619,9.5,299.15,0.106745,0.0547255250943537,0.109451050188707
"1747","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0.167048,15.5,299.15,0.106745,0.0547255250943537,0.109451050188707
"1748","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0.106745,20,299.15,0.106745,0.0547255250943537,0.109451050188707
"1749","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0.167742,26,299.15,0.106745,0.0547255250943537,0.109451050188707
"1750","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0.128232,30,299.15,0.106745,0.0547255250943537,0.109451050188707
"1751","Cosmarium botrytis-:-Moss (1973)-:- 49.370-:-  16.950","Cosmarium botrytis","Moss (1973)",0,35,299.15,0.106745,0.0547255250943537,0.109451050188707
"1752","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0,4,289.15,0.11,0.31543289320219,0.63086578640438
"1753","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0,4,299.15,0.11,0.31543289320219,0.63086578640438
"1754","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.13,10,289.15,0.11,0.31543289320219,0.63086578640438
"1755","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.13,10,299.15,0.11,0.31543289320219,0.63086578640438
"1756","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.17,16,289.15,0.11,0.31543289320219,0.63086578640438
"1757","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.17,16,299.15,0.11,0.31543289320219,0.63086578640438
"1758","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.11,20,289.15,0.11,0.31543289320219,0.63086578640438
"1759","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.11,20,299.15,0.11,0.31543289320219,0.63086578640438
"1760","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.17,26,289.15,0.11,0.31543289320219,0.63086578640438
"1761","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.17,26,299.15,0.11,0.31543289320219,0.63086578640438
"1762","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.13,30,289.15,0.11,0.31543289320219,0.63086578640438
"1763","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0.13,30,299.15,0.11,0.31543289320219,0.63086578640438
"1764","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0,35,289.15,0.11,0.31543289320219,0.63086578640438
"1765","Cosmarium botrytis-:-Moss (1973)-:-NA-:-NA","Cosmarium botrytis","Moss (1973)",0,35,299.15,0.11,0.31543289320219,0.63086578640438
"1766","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.11,10,301.15,0.11,0.613266117476152,1.2265322349523
"1767","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.29,15,301.15,0.11,0.613266117476152,1.2265322349523
"1768","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.4,20,301.15,0.11,0.613266117476152,1.2265322349523
"1769","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.48,25,301.15,0.11,0.613266117476152,1.2265322349523
"1770","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.56,28,301.15,0.11,0.613266117476152,1.2265322349523
"1771","Cosmarium-:-Coesel et al. (1990)-:-NA-:-NA","Cosmarium","Coesel et al. (1990)",0.53,30,301.15,0.11,0.613266117476152,1.2265322349523
"1772","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.037,0.6,294.15,0.011,0.652683964381153,1.30536792876231
"1773","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.119,7,294.15,0.011,0.652683964381153,1.30536792876231
"1774","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.225,16,294.15,0.011,0.652683964381153,1.30536792876231
"1775","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.265,21,294.15,0.011,0.652683964381153,1.30536792876231
"1776","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.258,25,294.15,0.011,0.652683964381153,1.30536792876231
"1777","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.099,28,294.15,0.011,0.652683964381153,1.30536792876231
"1778","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.052,32,294.15,0.011,0.652683964381153,1.30536792876231
"1779","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0.011,35,294.15,0.011,0.652683964381153,1.30536792876231
"1780","Cosmarium crenatum-:-Stamenkovi? and Hanelt (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? and Hanelt (2013)",0,37,294.15,0.011,0.652683964381153,1.30536792876231
"1781","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.037,0.6,294.15,0.011,0.652683964381153,1.30536792876231
"1782","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.119,7,294.15,0.011,0.652683964381153,1.30536792876231
"1783","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.225,16,294.15,0.011,0.652683964381153,1.30536792876231
"1784","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.265,21,294.15,0.011,0.652683964381153,1.30536792876231
"1785","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.258,25,294.15,0.011,0.652683964381153,1.30536792876231
"1786","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.099,28,294.15,0.011,0.652683964381153,1.30536792876231
"1787","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.052,32,294.15,0.011,0.652683964381153,1.30536792876231
"1788","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0.011,35,294.15,0.011,0.652683964381153,1.30536792876231
"1789","Cosmarium crenatum-:-Stamenkovi? et al. (2013)-:- 79.950-:-  50.080","Cosmarium crenatum","Stamenkovi? et al. (2013)",0,37,294.15,0.011,0.652683964381153,1.30536792876231
"1790","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.08,10,298.15,0.08,0.590429533335229,1.18085906667046
"1791","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.255,15,298.15,0.08,0.590429533335229,1.18085906667046
"1792","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.27,20,298.15,0.08,0.590429533335229,1.18085906667046
"1793","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.3,25,298.15,0.08,0.590429533335229,1.18085906667046
"1794","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.275,28,298.15,0.08,0.590429533335229,1.18085906667046
"1795","Cosmarium kjellmanii-:-Coesel & Wardenaar (1990)-:- 52.380-:-   5.090","Cosmarium kjellmanii","Coesel & Wardenaar (1990)",0.19,30,298.15,0.08,0.590429533335229,1.18085906667046
"1796","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.006,0.6,294.15,0.006,1.46642426613015,2.9328485322603
"1797","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.087,7,294.15,0.006,1.46642426613015,2.9328485322603
"1798","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.338,16,294.15,0.006,1.46642426613015,2.9328485322603
"1799","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.517,21,294.15,0.006,1.46642426613015,2.9328485322603
"1800","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.31,25,294.15,0.006,1.46642426613015,2.9328485322603
"1801","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.276,28,294.15,0.006,1.46642426613015,2.9328485322603
"1802","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.058,32,294.15,0.006,1.46642426613015,2.9328485322603
"1803","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.049,35,294.15,0.006,1.46642426613015,2.9328485322603
"1804","Cosmarium meneghinii-:-Stamenkovi? and Hanelt (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? and Hanelt (2013)",0.006,37,294.15,0.006,1.46642426613015,2.9328485322603
"1805","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.006,0.6,294.15,0.006,1.46642426613015,2.9328485322603
"1806","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.087,7,294.15,0.006,1.46642426613015,2.9328485322603
"1807","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.338,16,294.15,0.006,1.46642426613015,2.9328485322603
"1808","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.517,21,294.15,0.006,1.46642426613015,2.9328485322603
"1809","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.31,25,294.15,0.006,1.46642426613015,2.9328485322603
"1810","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.276,28,294.15,0.006,1.46642426613015,2.9328485322603
"1811","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.058,32,294.15,0.006,1.46642426613015,2.9328485322603
"1812","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.049,35,294.15,0.006,1.46642426613015,2.9328485322603
"1813","Cosmarium meneghinii-:-Stamenkovi? et al. (2013)-:- 50.080-:-  14.420","Cosmarium meneghinii","Stamenkovi? et al. (2013)",0.006,37,294.15,0.006,1.46642426613015,2.9328485322603
"1814","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.0679284,4.5,303.15,0.0679284,0.341819945169785,0.68363989033957
"1815","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.167048,9.5,303.15,0.0679284,0.341819945169785,0.68363989033957
"1816","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.254385,15.5,303.15,0.0679284,0.341819945169785,0.68363989033957
"1817","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.259237,20.5,303.15,0.0679284,0.341819945169785,0.68363989033957
"1818","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.246067,26,303.15,0.0679284,0.341819945169785,0.68363989033957
"1819","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0.285577,30,303.15,0.0679284,0.341819945169785,0.68363989033957
"1820","Cosmarium-:-Moss (1973)-:- 42.410-:- -85.380","Cosmarium","Moss (1973)",0,35,303.15,0.0679284,0.341819945169785,0.68363989033957
"1821","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.07,4,303.15,0.07,0.344360220031786,0.688720440063571
"1822","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.17,10,303.15,0.07,0.344360220031786,0.688720440063571
"1823","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.26,15,303.15,0.07,0.344360220031786,0.688720440063571
"1824","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.26,20,303.15,0.07,0.344360220031786,0.688720440063571
"1825","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.25,25,303.15,0.07,0.344360220031786,0.688720440063571
"1826","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0.29,30,303.15,0.07,0.344360220031786,0.688720440063571
"1827","Cosmarium-:-Moss (1973)-:-NA-:-NA","Cosmarium","Moss (1973)",0,35,303.15,0.07,0.344360220031786,0.688720440063571
"1828","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.033,0.6,298.15,0.033,0.734209340787374,1.46841868157475
"1829","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.084,7,298.15,0.033,0.734209340787374,1.46841868157475
"1830","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.264,16,298.15,0.033,0.734209340787374,1.46841868157475
"1831","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.271,21,298.15,0.033,0.734209340787374,1.46841868157475
"1832","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.458,25,298.15,0.033,0.734209340787374,1.46841868157475
"1833","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.099,28,298.15,0.033,0.734209340787374,1.46841868157475
"1834","Cosmarium punctulatum-:-Stamenkovi? and Hanelt (2013)-:- -0.670-:- -78.430","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.05,32,298.15,0.033,0.734209340787374,1.46841868157475
