"","Species_original","Species_standardised","Reference","Trait_value","Temperature","unique_id"
"1","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0,15,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"2","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.166,17,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"3","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.166,18,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"4","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.227,19,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"5","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.366,22,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"6","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.401,23,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"7","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.443,24,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"8","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.498,25,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"9","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.435,26,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"10","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.471,27,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"11","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.429,28,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"12","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.435,29,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"13","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.449,30,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"14","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0.429,31,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"15","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson (2006)",0,33,"  0.000-140.000Johnson (2006)Prochlorococcus marinus"
"16","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0,15,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"17","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.17,17,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"18","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.17,18,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"19","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.23,19,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"20","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.37,22,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"21","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.4,23,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"22","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,24,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"23","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.5,25,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"24","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,26,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"25","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.47,27,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"26","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.43,28,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"27","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.44,29,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"28","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.45,30,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"29","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0.43,31,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"30","Prochlorococcus marinus strain MIT9215 (clade 1)","Prochlorococcus marinus","Johnson et al. (2006)",0,33,"  0.000-140.000Johnson et al. (2006)Prochlorococcus marinus"
"31","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.087,20,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"32","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.095,23,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"33","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.082,25,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"34","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.077,27,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"35","Botryococcus braunii strain CHN 357, UTEX 572","Botryococcus braunii","Qin & Li (2006)",0.061,30,"   0.040 52.230Botryococcus brauniiQin & Li (2006)"
"36","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.001,0.6," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"37","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.011,7," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"38","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.169,16," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"39","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.268,21," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"40","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.322,25," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"41","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.329,28," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"42","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.094,32," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"43","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0.106,35," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"44","Cosmarium beatum SVCK 533","Cosmarium beatum","Stamenkovi? et al. (2013)",0,37," -0.150  36.260Cosmarium beatumStamenkovi? et al. (2013)"
"45","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.001,0.6," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"46","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.011,7," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"47","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.169,16," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"48","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.268,21," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"49","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.322,25," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"50","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.329,28," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"51","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.094,32," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"52","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0.106,35," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"53","Cosmarium beatum","Cosmarium beatum","Stamenkovi? and Hanelt (2013)",0,37," -0.150  36.430Cosmarium beatumStamenkovi? and Hanelt (2013)"
"54","Anabaena cylindrica strain PCC 7122","Anabaena cylindrica","Lï¿½rling et al. (2013)",0.46,20,"  -0.420 51.250Anabaena cylindricaLï¿½rling et al. (2013)"
"55","Anabaena cylindrica strain PCC 7122","Anabaena cylindrica","Lï¿½rling et al. (2013)",0.93,25,"  -0.420 51.250Anabaena cylindricaLï¿½rling et al. (2013)"
"56","Anabaena cylindrica strain PCC 7122","Anabaena cylindrica","Lï¿½rling et al. (2013)",0.75,27.5,"  -0.420 51.250Anabaena cylindricaLï¿½rling et al. (2013)"
"57","Anabaena cylindrica strain PCC 7122","Anabaena cylindrica","Lï¿½rling et al. (2013)",0.53,32.5,"  -0.420 51.250Anabaena cylindricaLï¿½rling et al. (2013)"
"58","Anabaena cylindrica strain PCC 7122","Anabaena cylindrica","Lï¿½rling et al. (2013)",0.58,35,"  -0.420 51.250Anabaena cylindricaLï¿½rling et al. (2013)"
"59","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.033,0.6," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"60","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.084,7," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"61","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.264,16," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"62","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.271,21," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"63","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.458,25," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"64","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.099,28," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"65","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.05,32," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"66","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0.049,35," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"67","Cosmarium punctulatum #570","Cosmarium punctulatum","Stamenkovi? and Hanelt (2013)",0,37," -0.670 -78.430Cosmarium punctulatumStamenkovi? and Hanelt (2013)"
"68","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.033,0.6," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"69","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.084,7," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"70","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.264,16," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"71","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.271,21," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"72","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.458,25," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"73","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.099,28," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"74","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.05,32," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"75","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0.049,35," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"76","Cosmarium punctulatum var. subpunctulatum SVCK 570, ASW Wien #07 182","Cosmarium punctulatum","Stamenkovi? et al. (2013)",0,37," -0.670 -78.430Cosmarium punctulatumStamenkovi? et al. (2013)"
"77","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0.059,5," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"78","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0.2,10," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"79","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0.182,15," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"80","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0.164,20," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"81","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0.168,25," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"82","Closterium parvulum","Closterium parvulum","Tsujimura et al. (2003b)",0,30," 100.500 51.100Closterium parvulumTsujimura et al. (2003b)"
"83","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.098,5," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"84","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.125,10," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"85","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.095,15," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"86","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.095,20," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"87","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.07,25," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"88","Oocystella mongolica","Cymbella mongolica","Tsujimura et al. (2003b)",0.032,30," 100.500 51.100Cymbella mongolicaTsujimura et al. (2003b)"
"89","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.25,5," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"90","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.35,10," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"91","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.292,15," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"92","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.25,20," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"93","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.176,25," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"94","Monoraphidium contortum","Monoraphidium contortum","Tsujimura et al. (2003b)",0.013,30," 100.500 51.100Monoraphidium contortumTsujimura et al. (2003b)"
"95","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0.116,5," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"96","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0.167,10," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"97","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0.137,15," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"98","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0.137,20," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"99","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0.132,25," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"100","Pseudodidymocystis planctonica","Pseudodidymocystis planctonica","Tsujimura et al. (2003b)",0,30," 100.500 51.100Pseudodidymocystis planctonicaTsujimura et al. (2003b)"
"101","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.154,16," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"102","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.238,20," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"103","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.294,27," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"104","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.322,28," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"105","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.364,32.5," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"106","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.35,34.5," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"107","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.252,40.5," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"108","Chlorella vulgaris","Chlorella vulgaris","Babel et al. (2002)",0.126,44," 100.820 14.140Babel et al. (2002)Chlorella vulgaris"
"109","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.234,13," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"110","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.287,18," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"111","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.283,23," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"112","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.312,28," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"113","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.322,33," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"114","Chlorella vulgaris strain UMACC 001","Chlorella vulgaris","Teoh et al. (2013)",0.251,38," 101.650  3.120Chlorella vulgarisTeoh et al. (2013)"
"115","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.065,10," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"116","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.1,15," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"117","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.14,20," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"118","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.245,25," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"119","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.21,28," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"120","Staurastrum anatinum","Staurastrum anatinum","Coesel & Wardenaar (1990)",0.185,30," -10.230 53.620Coesel & Wardenaar (1990)Staurastrum anatinum"
"121","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.06,10," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"122","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.15,15," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"123","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.195,20," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"124","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.225,25," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"125","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.215,28," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"126","Staurodesmus cuspidatus","Staurodesmus cuspidatus","Coesel & Wardenaar (1990)",0.15,30," -10.230 53.620Coesel & Wardenaar (1990)Staurodesmus cuspidatus"
"127","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",0.62,5,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"128","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.1,10,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"129","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.3,15,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"130","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.52,20,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"131","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",0.68,25,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"132","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",0.619674,5,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"133","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.10488,10,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"134","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.30173,15,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"135","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",1.52492,20,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"136","Eutreptiella gymnastica","Eutreptiella gymnastica","Throndsen (1976)",0.679977,25,"  10.520 59.450Eutreptiella gymnasticaThrondsen (1976)"
"137","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.19,7,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"138","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.21,10,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"139","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.38,15,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"140","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.47,20,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"141","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.38,24,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"142","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.13,7,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"143","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.17,10,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"144","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.28,15,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"145","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0.45,20,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"146","Karlodinium veneficum strain KT76E","Gymnodinium veneficum","Nielsen (1996)",0,24,"  10.520 59.450Gymnodinium veneficumNielsen (1996)"
"147","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tï¿½nseth (1991)",0.0679284,12.5,"  10.520 59.450Gyrodinium aureolumNielsen & Tï¿½nseth (1991)"
"148","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tï¿½nseth (1991)",0.111597,15,"  10.520 59.450Gyrodinium aureolumNielsen & Tï¿½nseth (1991)"
"149","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tï¿½nseth (1991)",0.105358,17.5,"  10.520 59.450Gyrodinium aureolumNielsen & Tï¿½nseth (1991)"
"150","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tï¿½nseth (1991)",0.103279,20,"  10.520 59.450Gyrodinium aureolumNielsen & Tï¿½nseth (1991)"
"151","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tï¿½nseth (1991)",0.0991201,22.5,"  10.520 59.450Gyrodinium aureolumNielsen & Tï¿½nseth (1991)"
"152","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tonseth (1991)",0.14,13,"  10.520 59.450Gyrodinium aureolumNielsen & Tonseth (1991)"
"153","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tonseth (1991)",0.29,15,"  10.520 59.450Gyrodinium aureolumNielsen & Tonseth (1991)"
"154","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tonseth (1991)",0.36,18,"  10.520 59.450Gyrodinium aureolumNielsen & Tonseth (1991)"
"155","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tonseth (1991)",0.4,20,"  10.520 59.450Gyrodinium aureolumNielsen & Tonseth (1991)"
"156","Gymnodinium aureolum","Gyrodinium aureolum","Nielsen & Tonseth (1991)",0.38,23,"  10.520 59.450Gyrodinium aureolumNielsen & Tonseth (1991)"
"157","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.49,5,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"158","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.97,10,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"159","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",1.46,20,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"160","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.76,25,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"161","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.13,29,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"162","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.485203,5,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
"163","Heterocapsa rotundata","Katodinium rotundatum","Throndsen (1976)",0.970406,10,"  10.520 59.450Katodinium rotundatumThrondsen (1976)"
